,accuracy,precision,recall,f1,roc_auc
Запуск 1,0.8365586641601238,0.37210718635809986,0.5775047258979206,0.4525925925925926,0.7899504387361462
Запуск 2,0.836669246931328,0.37492537313432833,0.5935727788279773,0.4595682400292719,0.7900535384753786
Запуск 3,0.8289284529470309,0.3587521663778163,0.5869565217391305,0.44532090354965936,0.7885146772125902
Запуск 4,0.8319141877695455,0.36298932384341637,0.5784499054820416,0.446064139941691,0.783771793284431
Запуск 5,0.8276014596925799,0.3554529717253318,0.5822306238185255,0.44141884629165173,0.7825667337031982
